anio,estado,clave_siinah,recinto,enero_nac,enero_ext,febrero_nac,febrero_ext,marzo_nac,marzo_ext,abril_nac,abril_ext,mayo_nac,mayo_ext,junio_nac,junio_ext,julio_nac,julio_ext,agosto_nac,agosto_ext,septiembre_nac,septiembre_ext,octubre_nac,octubre_ext,noviembre_nac,noviembre_ext,diciembre_nac,diciembre_ext
2025,Aguascalientes,2300100,Museo Regional de Historia de Aguascalientes,967,33,1721,27,1658,29,3726,61,2076,21,1378,50,1900,76,1571,46,1643,41,2959,66,3349,61,1660,61
2025,Baja California,2400100,"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",1304,410,997,414,1932,292,1755,186,2544,409,3240,386,2100,511,2852,480,1649,132,3774,478,1784,516,1159,832
2025,Baja California Sur,2300200,Museo Regional de Antropología e Historia de Baja California Sur,2266,983,1868,1101,2635,806,2337,544,2004,348,2009,547,2188,476,1040,567,940,346,2090,491,1969,515,1214,737
2025,Baja California Sur,2400200,Museo de Las Misiones Jesuíticas,659,179,887,474,798,551,1503,431,547,42,675,43,828,17,547,23,324,14,589,325,712,302,887,470
2025,Baja California Sur,2400300,Museo de las Pinturas Rupestres de San Ignacio,36,0,73,4,0,0,356,0,0,0,10,0,177,93,27,0,0,0,25,0,130,18,119,0
2025,Baja California Sur,4100016,Misión de San Francisco Javier,456,593,825,664,838,912,1081,568,818,245,616,259,762,211,1224,241,805,151,671,366,881,368,1347,247
2025,Campeche,2400500,"Museo de Arquitectura Maya, Baluarte de la Soledad",2215,851,2632,466,2874,359,3026,480,862,157,838,185,1532,401,1176,390,679,193,2071,232,2317,641,2321,623
2025,Campeche,2400400,Museo de Arqueología Maya Fuerte de San Miguel,4171,711,2731,474,3186,601,3963,315,1487,151,1640,99,3199,287,4132,363,2120,84,2586,190,3712,514,4106,384
2025,Campeche,2400600,Museo de Arqueología Maya del Camino Real de Hecelchakán,0,0,0,0,0,0,84,2,196,2,219,0,304,2,230,2,225,0,232,2,221,17,178,5
2025,Campeche,2400700,Museo de Arqueología Subacuática Fuerte de San José El Alto,1910,105,1257,106,1337,104,1890,57,1305,42,1279,23,1900,77,2112,58,1027,32,1212,58,1757,114,2110,70
2025,Chiapas,2300500,Museo Regional de Chiapas,1944,55,1840,49,1746,16,2742,47,2072,19,1894,7,2466,37,2602,12,1428,6,1600,12,1600,42,1406,41
2025,Chiapas,2401000,Museo de los Altos de Chiapas,2100,744,1438,526,2430,447,2489,394,1963,276,1876,189,2563,379,2145,307,810,170,1814,255,1447,433,2014,398
2025,Chiapas,2400900,Museo Arqueológico del Soconusco,0,0,0,0,520,400,770,84,514,50,426,23,445,65,476,31,368,31,698,40,1405,133,554,35
2025,Chiapas,2400800,Museo Arqueológico de Comitán,650,20,854,15,677,10,583,17,699,17,565,11,756,0,703,3,359,21,834,17,517,24,353,4
2025,Chihuahua,2401100,Museo de la Revolución en la Frontera,2160,116,2340,115,2073,227,3164,161,3258,260,3466,296,2562,266,2773,244,2458,329,4223,0,5770,294,3098,128
2025,Ciudad de México,2100100,Museo Nacional de Antropología,291602,46782,384000,49164,515253,61729,667256,46557,398083,37771,231319,31745,235549,36376,239032,36943,313731,30145,430282,48172,371557,61320,431304,53221
2025,Ciudad de México,2100200,Museo Nacional de Historia,267539,35710,155450,26637,158138,31656,302955,41458,129082,25565,118265,20263,198197,24790,291129,25270,173742,27262,140087,27183,170499,42605,210228,32663
2025,Ciudad de México,2100300,Museo Nacional de las Culturas del Mundo,18615,5981,30154,5198,22353,4652,32889,5659,15922,2634,14279,2560,18986,3100,25391,3875,20158,2421,42353,4831,25492,4118,17178,3141
2025,Ciudad de México,2100400,Museo Nacional de las Intervenciones,7600,165,10803,132,15016,129,11239,132,7836,123,4896,89,3349,138,3730,74,7919,63,13386,136,11569,171,4898,138
2025,Ciudad de México,2600100,Museo Casa Carranza,45671,53,5366,8,5194,10,15659,1,8318,7,9303,32,5992,6,6970,47,7321,0,9912,116,10551,160,15885,34
2025,Ciudad de México,2200200,Museo de El Carmen,4626,205,5261,209,5140,266,5624,221,4311,99,3005,132,6951,191,4657,172,3950,113,6636,169,7380,353,4722,163
2025,Ciudad de México,2200100,Galería de Historia,11904,0,11643,0,11516,0,13695,0,10760,0,5616,0,6569,0,7427,0,13133,0,17202,0,11048,0,8107,0
2025,Ciudad de México,2500500,Museo del Templo Mayor,30657,10599,32396,11374,34723,11002,50160,9779,27880,7502,25038,7106,35362,7501,37648,8325,24761,5189,39804,9979,33065,11523,30769,10864
2025,Ciudad de México,2700100,"Centro Comunitario Culhuacán, Ex Convento de San Juan Evangelista",3271,7,3155,7,4215,4,3571,2,5387,5,6993,6,5785,3,3369,2,3642,3,6499,4,3311,21,2601,6
2025,Coahuila,2300300,Museo Regional de la Laguna,0,0,1928,20,1409,26,1068,0,920,0,1025,0,1482,0,1428,0,2400,0,1555,0,1841,0,983,23
2025,Colima,2300400,Museo Regional de Historia de Colima,578,36,524,93,521,30,988,24,784,14,515,198,461,15,645,45,358,26,3762,25,374,21,257,20
2025,Estado de México,2100500,Museo Nacional del Virreinato,7794,375,11595,588,13415,233,15149,189,10086,182,10784,144,7813,278,11690,226,8230,474,9004,375,11711,558,9237,209
2025,Estado de México,2501000,Museo Prehistórico de Tepexpan,452,0,1788,4,1012,3,626,1,504,0,100,0,374,1,466,5,288,0,478,0,402,0,400,0
2025,Estado de México,2600200,Museo Virreinal de Acolman,1493,72,4086,200,5116,82,3680,0,4599,6,2268,0,3428,5,4929,2,2973,141,3918,7,4018,0,3479,30
2025,Estado de México,2700200,Centro Comunitario Ecatepec Casa de Morelos,1359,0,2098,0,1871,0,2537,0,1929,0,1949,0,1809,0,1856,0,3155,0,2441,0,1820,0,1145,0
2025,Estado de México,2500800,Museo de Murales Teotihuacanos Beatriz de la Fuente,671,385,658,470,1135,484,862,437,658,540,867,323,664,219,698,265,751,154,720,308,712,555,1819,581
2025,Estado de México,4100007,Ex-Convento de Oxtotipac,424,0,543,0,898,0,240,0,422,0,450,0,557,0,452,0,403,0,168,0,0,0,472,0
2025,Estado de México,4100002,Capilla Abierta del Templo de Calimaya,316,0,366,0,2480,0,1284,0,366,0,814,0,220,0,478,0,332,0,896,0,684,0,384,0
2025,Estado de México,4100001,Capilla Abierta de Tlalmanalco,774,0,1496,0,1706,0,878,0,681,2,753,0,3606,0,3336,0,1100,0,1438,0,952,0,234,0
2025,Guanajuato,2300600,Museo Regional de Guanajuato Alhóndiga de Granaditas,7974,1337,7091,1202,7944,1327,9372,1153,7287,743,8536,940,12210,1533,11658,1413,7738,891,8910,1442,9222,1582,9325,1452
2025,Guanajuato,2401300,Museo Casa del Dr. José María Luis Mora,533,0,692,0,898,0,966,0,793,0,557,0,604,0,739,0,629,0,812,0,605,0,113,0
2025,Guanajuato,2401400,Museo Ex Convento Agustino de San Pablo,1184,92,938,30,1094,55,1280,34,1310,28,1010,95,1443,98,1401,42,986,19,1075,25,996,86,1412,106
2025,Guanajuato,2401200,"Museo Casa de Hidalgo ""La Francia Chiquita""",244,0,118,0,126,0,119,0,87,0,72,0,134,0,208,0,234,0,128,0,80,0,93,0
2025,Guanajuato,2401500,Museo Histórico de San Miguel de Allende,4133,188,2834,141,3937,168,3037,185,2821,160,3693,107,4492,103,3670,90,4132,75,3128,111,3926,91,4920,125
2025,Guanajuato,2600300,Casa de Hidalgo,2283,153,1710,131,1822,52,2817,114,2412,96,2211,110,2405,120,2953,82,4127,97,2457,83,2651,82,2430,136
2025,Guanajuato,4100004,Ex-Convento Agustino de Fray Juan de Sahagún,441,0,463,0,477,0,362,0,649,0,422,0,258,0,356,0,280,0,269,0,414,0,339,0
2025,Guerrero,2300700,Museo Regional de Guerrero,3014,0,2362,0,2251,0,3451,0,2262,0,2210,0,2997,0,2539,0,2454,0,2813,0,1343,0,1866,0
